2023/01/21;11:58:59;41.69;25.00;-100.00
2023/01/21;11:59:01;41.75;25.00;-100.00
2023/01/21;11:59:02;41.81;25.00;-100.00
2023/01/21;11:59:04;41.88;25.00;-100.00
2023/01/21;11:59:05;41.94;25.00;-100.00
2023/01/21;11:59:06;42.00;25.00;-100.00
2023/01/21;11:59:08;42.06;25.00;-100.00
2023/01/21;11:59:09;42.06;25.00;-100.00
2023/01/21;11:59:11;42.12;25.00;-100.00
2023/01/21;11:59:12;42.19;25.00;-100.00
2023/01/21;11:59:13;42.25;25.00;-100.00
2023/01/21;11:59:15;42.31;25.00;-100.00
2023/01/21;11:59:16;42.38;25.00;-100.00
2023/01/21;11:59:18;42.44;25.00;-100.00
2023/01/21;11:59:19;42.50;25.00;-100.00
2023/01/21;11:59:20;42.50;25.00;-100.00
2023/01/21;11:59:22;42.50;25.00;-100.00
2023/01/21;11:59:23;42.56;25.00;-100.00
2023/01/21;11:59:25;42.62;38.00;100.00
2023/01/21;11:59:26;42.69;38.00;-100.00
2023/01/21;11:59:27;42.69;38.00;-100.00
2023/01/21;11:59:29;42.75;38.00;-100.00
2023/01/21;11:59:30;42.81;38.00;-100.00
2023/01/21;11:59:32;42.81;38.00;-100.00
2023/01/21;11:59:33;42.81;38.00;-100.00
2023/01/21;11:59:34;42.88;38.00;-100.00
2023/01/21;11:59:36;42.94;38.00;-100.00
2023/01/21;11:59:37;42.94;38.00;-100.00
2023/01/21;11:59:39;43.00;38.00;-100.00
2023/01/21;11:59:40;43.00;38.00;-100.00
2023/01/21;11:59:41;43.00;38.00;-100.00
2023/01/21;11:54:35;23.75;50.00;100.00
2023/01/21;11:54:38;23.75;50.00;100.00
2023/01/21;11:54:40;23.69;50.00;100.00
2023/01/21;11:54:42;23.69;50.00;100.00
2023/01/21;11:54:44;23.69;50.00;100.00
2023/01/21;11:54:46;23.69;50.00;100.00
2023/01/21;11:54:48;23.75;50.00;100.00
2023/01/21;11:54:50;23.75;50.00;100.00
2023/01/21;11:54:53;23.75;55.00;100.00
2023/01/21;11:54:55;23.75;55.00;100.00
2023/01/21;11:54:57;23.81;55.00;100.00
2023/01/21;11:54:59;23.81;55.00;100.00
2023/01/21;11:55:01;23.88;55.00;100.00
2023/01/21;11:55:03;23.88;55.00;100.00
2023/01/21;11:55:05;23.94;55.00;100.00
2023/01/21;11:55:07;24.00;55.00;100.00
2023/01/21;11:55:09;24.06;55.00;100.00
2023/01/21;11:55:12;24.00;55.00;100.00
2023/01/21;11:55:14;24.12;50.00;-100.00
2023/01/21;11:55:16;24.19;45.00;-100.00
2023/01/21;11:55:18;24.19;45.00;100.00
2023/01/21;11:55:20;24.31;40.00;-100.00
2023/01/21;11:55:22;24.38;40.00;100.00
2023/01/21;11:55:24;24.44;40.00;100.00
2023/01/21;11:55:26;24.56;40.00;100.00
2023/01/21;11:55:28;24.62;40.00;100.00
2023/01/21;11:55:30;24.62;40.00;100.00
2023/01/21;11:55:33;24.88;40.00;100.00
2023/01/21;11:55:35;24.88;40.00;100.00
2023/01/21;11:55:37;24.94;40.00;100.00
2023/01/21;11:55:39;25.12;40.00;100.00
2023/01/21;11:55:41;25.19;40.00;100.00
